time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140812T125755	96.5	200	200	96.56	500	500
20140812T125818	96.5	100	100	96.56	500	500
20140812T125822	96.41	300	300	96.56	500	500
20140812T125829	96.41	300	300	96.55	500	500
20140812T125853	96.39	200	200	96.55	500	500
20140812T125855	96.4	300	300	96.55	500	500
20140812T130015	96.4	300	300	96.57	500	500
20140812T130055	96.45	300	300	96.57	500	500
20140812T130100	96.45	300	300	96.5	800	800
20140812T130132	96.45	300	300	96.47	100	100
20140812T130238	96.45	300	300	96.5	800	800
20140812T130244	96.45	300	300	96.49	1000	1000
20140812T130246	96.4	300	300	96.49	1000	1000
20140812T130250	96.4	300	300	96.45	800	800
20140812T130252	96.4	300	300	96.45	300	300
20140812T130314	96.4	400	400	96.45	300	300
20140812T130318	96.4	100	100	96.45	300	300
20140812T130325	96.4	400	400	96.45	300	300
20140812T130334	96.4	400	400	96.49	1000	1000
20140812T130338	96.4	100	100	96.49	1000	1000
20140812T130405	96.4	100	100	96.45	100	100
20140812T130455	96.45	100	100	96.47	100	100
20140812T130630	96.45	100	100	96.48	200	200
20140812T130723	96.45	100	100	96.49	1000	1000
20140812T130756	96.45	100	100	96.48	400	400
20140812T130817	96.45	100	100	96.48	300	300
20140812T130819	96.45	100	100	96.48	200	200
20140812T130821	96.45	100	100	96.48	100	100
20140812T130827	96.45	100	100	96.49	1000	1000
20140812T130828	96.45	100	100	96.49	700	700
20140812T130844	96.41	200	200	96.45	300	300
20140812T131006	96.41	200	200	96.43	500	500
20140812T131026	96.41	200	200	96.45	300	300
20140812T131043	96.41	700	700	96.45	300	300
20140812T131319	96.41	200	200	96.45	300	300
20140812T131320	96.39	200	200	96.4	100	100
20140812T131328	96.39	200	200	96.45	300	300
20140812T131330	96.44	200	200	96.45	300	300
20140812T131333	96.39	200	200	96.44	200	200
20140812T131358	96.43	100	100	96.44	200	200
20140812T131402	96.39	200	200	96.43	200	200
20140812T131406	96.4	100	100	96.43	200	200
20140812T131437	96.4	100	100	96.44	100	100
20140812T131456	96.39	200	200	96.4	900	900
20140812T131504	96.37	500	500	96.4	900	900
20140812T131528	96.38	100	100	96.4	900	900
20140812T131536	96.37	500	500	96.4	900	900
20140812T131543	96.4	100	100	96.44	100	100
20140812T131548	96.37	500	500	96.44	100	100
20140812T131552	96.37	500	500	96.39	6500	6500
20140812T131556	96.37	200	200	96.39	6500	6500
20140812T131557	96.35	100	100	96.37	300	300
20140812T131558	96.35	100	100	96.37	200	200
20140812T131600	96.32	300	300	96.39	6500	6500
20140812T131604	96.32	300	300	96.38	900	900
20140812T131612	96.32	300	300	96.38	1100	1100
20140812T131616	96.32	300	300	96.37	900	900
20140812T131619	96.33	100	100	96.37	900	900
20140812T131621	96.33	100	100	96.36	900	900
20140812T131625	96.32	300	300	96.36	900	900
20140812T131642	96.32	300	300	96.36	500	500
20140812T131647	96.32	300	300	96.37	200	200
20140812T131653	96.32	300	300	96.37	500	500
20140812T131657	96.32	300	300	96.37	200	200
20140812T131658	96.32	300	300	96.38	500	500
20140812T131703	96.32	300	300	96.38	300	300
20140812T131705	96.32	300	300	96.44	100	100
20140812T131710	96.32	300	300	96.44	300	300
20140812T131713	96.32	300	300	96.44	100	100
20140812T131719	96.32	300	300	96.43	100	100
20140812T131721	96.32	300	300	96.44	100	100
20140812T131729	96.35	100	100	96.44	100	100
20140812T131733	96.33	100	100	96.44	100	100
20140812T131739	96.33	100	100	96.37	1900	1900
20140812T131742	96.32	300	300	96.37	1900	1900
20140812T131812	96.32	300	300	96.36	100	100
20140812T131833	96.32	300	300	96.35	100	100
20140812T131903	96.35	1900	1900	96.37	1900	1900
20140812T131917	96.35	1900	1900	96.37	1200	1200
20140812T131919	96.35	1900	1900	96.37	200	200
20140812T131920	96.37	100	100	96.44	100	100
20140812T131924	96.37	100	100	96.4	500	500
20140812T131928	96.35	1900	1900	96.4	400	400
20140812T131938	96.35	1900	1900	96.4	300	300
20140812T131945	96.35	1900	1900	96.4	400	400
20140812T131948	96.35	1900	1900	96.4	600	600
20140812T132004	96.35	1900	1900	96.4	400	400
