time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140813T153538	566.45	500	500	566.56	100	100
20140813T153540	566.49	100	100	566.67	100	100
20140813T153556	566.57	100	100	566.67	100	100
20140813T153557	566.46	100	100	566.84	100	100
20140813T153558	566.46	300	300	566.85	1000	1000
20140813T153603	566.46	300	300	566.84	100	100
20140813T153605	566.51	100	100	566.83	100	100
20140813T153606	566.53	200	200	566.85	1000	1000
20140813T153608	566.53	300	300	566.85	1000	1000
20140813T153610	566.53	300	300	566.85	900	900
20140813T153619	566.8	100	100	566.89	100	100
20140813T153620	566.8	100	100	566.95	3100	3100
20140813T153621	566.65	500	500	566.94	100	100
20140813T153623	566.65	200	200	566.94	100	100
20140813T153628	566.65	300	300	566.95	1700	1700
20140813T153635	566.67	100	100	566.95	1500	1500
20140813T153645	566.75	200	200	566.95	1300	1300
20140813T153646	566.76	100	100	566.95	600	600
20140813T153649	566.76	200	200	566.95	600	600
20140813T153652	566.76	200	200	566.95	400	400
20140813T153655	566.81	200	200	567.	100	100
20140813T153701	566.82	100	100	567.	100	100
20140813T153706	566.82	200	200	567.	100	100
20140813T153713	566.82	200	200	567.	300	300
20140813T153719	566.49	100	100	566.99	100	100
20140813T153720	566.47	100	100	566.99	100	100
20140813T153721	566.45	400	400	566.98	100	100
20140813T153722	566.45	400	400	566.92	100	100
20140813T153723	566.66	100	100	566.95	100	100
20140813T153726	566.5	100	100	566.95	100	100
20140813T153727	566.49	100	100	566.93	100	100
20140813T153729	566.45	500	500	566.91	100	100
20140813T153730	566.45	400	400	566.91	100	100
20140813T153732	566.45	400	400	566.9	100	100
20140813T153733	566.45	400	400	566.91	100	100
20140813T153736	566.45	400	400	566.9	100	100
20140813T153737	566.45	400	400	566.9	300	300
20140813T153741	566.45	400	400	566.9	500	500
20140813T153801	566.46	100	100	566.88	200	200
20140813T153804	566.47	100	100	566.88	200	200
20140813T153807	566.47	100	100	566.88	100	100
20140813T153822	566.5	100	100	566.9	300	300
20140813T153835	566.45	400	400	566.9	300	300
20140813T153844	566.45	400	400	566.85	100	100
20140813T153850	566.45	400	400	566.85	300	300
20140813T153850	566.45	400	400	566.8	100	100
20140813T153850	566.25	200	200	566.35	600	600
20140813T153851	565.88	100	100	566.35	600	600
20140813T153854	565.88	100	100	566.35	700	700
20140813T153858	565.75	300	300	566.35	800	800
20140813T153900	565.75	300	300	566.34	100	100
20140813T153902	565.77	100	100	566.33	100	100
20140813T153903	565.77	100	100	566.32	100	100
20140813T153906	565.8	200	200	566.32	100	100
20140813T153908	565.8	100	100	566.07	100	100
20140813T153916	565.76	100	100	566.07	100	100
20140813T153918	565.76	100	100	566.06	100	100
20140813T153919	565.77	100	100	566.05	100	100
20140813T153921	565.77	100	100	566.04	100	100
20140813T153923	565.76	100	100	565.93	600	600
20140813T153925	565.75	100	100	565.93	600	600
